sentence,classification,prev2,prev1,next1,next2
"Okay, Thank you, Any further discussion?",i,"We're in the process of renegotiating a landfill contract, so we anticipate those costs, which is the other reason for the amendment because we realized that like, hey, there's a good potential, There's a potential for us to have an increased cost of everything captured there.",So we just want to have the flexibility to work with the university to realize those.,Second round.,"Councilwoman Kale-Smith, Just briefly, I do want to thank you, Supervisor, for all the work that you do and Director, for all the work you do across the Pittsburgh."
Second round.,b,So we just want to have the flexibility to work with the university to realize those.,"Okay, Thank you, Any further discussion?","Councilwoman Kale-Smith, Just briefly, I do want to thank you, Supervisor, for all the work that you do and Director, for all the work you do across the Pittsburgh.",Your institutional knowledge really means a lot And I know that when I send you stuff and how you address it and how you handle it and the responses you give.
"Councilwoman Kale-Smith, Just briefly, I do want to thank you, Supervisor, for all the work that you do and Director, for all the work you do across the Pittsburgh.",i,"Okay, Thank you, Any further discussion?",Second round.,Your institutional knowledge really means a lot And I know that when I send you stuff and how you address it and how you handle it and the responses you give.,So I just want to thank you.
Your institutional knowledge really means a lot And I know that when I send you stuff and how you address it and how you handle it and the responses you give.,i,Second round.,"Councilwoman Kale-Smith, Just briefly, I do want to thank you, Supervisor, for all the work that you do and Director, for all the work you do across the Pittsburgh.",So I just want to thank you.,"Thank you, Councilman Coghill."
So I just want to thank you.,i,"Councilwoman Kale-Smith, Just briefly, I do want to thank you, Supervisor, for all the work that you do and Director, for all the work you do across the Pittsburgh.",Your institutional knowledge really means a lot And I know that when I send you stuff and how you address it and how you handle it and the responses you give.,"Thank you, Councilman Coghill.","Thank you, Madam Chair."
"Thank you, Councilman Coghill.",i,Your institutional knowledge really means a lot And I know that when I send you stuff and how you address it and how you handle it and the responses you give.,So I just want to thank you.,"Thank you, Madam Chair.","I usually complain, but I'm not, you know, honestly."
"Thank you, Madam Chair.",i,So I just want to thank you.,"Thank you, Councilman Coghill.","I usually complain, but I'm not, you know, honestly.",I want to also back up Councilwoman Kale-Smith.
"I usually complain, but I'm not, you know, honestly.",i,"Thank you, Councilman Coghill.","Thank you, Madam Chair.",I want to also back up Councilwoman Kale-Smith.,"Yeah, the job you do, Shawn, honestly, is phenomenal."
I want to also back up Councilwoman Kale-Smith.,i,"Thank you, Madam Chair.","I usually complain, but I'm not, you know, honestly.","Yeah, the job you do, Shawn, honestly, is phenomenal.","I get very, very few phone calls, complaints on refuge."
"Yeah, the job you do, Shawn, honestly, is phenomenal.",i,"I usually complain, but I'm not, you know, honestly.",I want to also back up Councilwoman Kale-Smith.,"I get very, very few phone calls, complaints on refuge.","you know, and you've been really great about sending public works by when we do these cleanups and you know they've come in and hauled it out."
"I get very, very few phone calls, complaints on refuge.",i,I want to also back up Councilwoman Kale-Smith.,"Yeah, the job you do, Shawn, honestly, is phenomenal.","you know, and you've been really great about sending public works by when we do these cleanups and you know they've come in and hauled it out.",So I really do appreciate all the work you do.
"you know, and you've been really great about sending public works by when we do these cleanups and you know they've come in and hauled it out.",i,"Yeah, the job you do, Shawn, honestly, is phenomenal.","I get very, very few phone calls, complaints on refuge.",So I really do appreciate all the work you do.,So thank you.
So I really do appreciate all the work you do.,i,"I get very, very few phone calls, complaints on refuge.","you know, and you've been really great about sending public works by when we do these cleanups and you know they've come in and hauled it out.",So thank you.,"Thank you, Further discussion, Councilperson Warwick."
So thank you.,i,"you know, and you've been really great about sending public works by when we do these cleanups and you know they've come in and hauled it out.",So I really do appreciate all the work you do.,"Thank you, Further discussion, Councilperson Warwick.","Since we're talking about it, what is the?"
"Thank you, Further discussion, Councilperson Warwick.",i,So I really do appreciate all the work you do.,So thank you.,"Since we're talking about it, what is the?","what's the lifespan of these city, of the city blue bins that we give out."
"Since we're talking about it, what is the?",i,So thank you.,"Thank you, Further discussion, Councilperson Warwick.","what's the lifespan of these city, of the city blue bins that we give out.","Oh, yes, I mean roughly, We really haven't got there yet."
"what's the lifespan of these city, of the city blue bins that we give out.",i,"Thank you, Further discussion, Councilperson Warwick.","Since we're talking about it, what is the?","Oh, yes, I mean roughly, We really haven't got there yet.","Okay, Certainly, we've just finally got them all to our residence."
"Oh, yes, I mean roughly, We really haven't got there yet.",i,"Since we're talking about it, what is the?","what's the lifespan of these city, of the city blue bins that we give out.","Okay, Certainly, we've just finally got them all to our residence.",We do have a warranty on them.
"Okay, Certainly, we've just finally got them all to our residence.",i,"what's the lifespan of these city, of the city blue bins that we give out.","Oh, yes, I mean roughly, We really haven't got there yet.",We do have a warranty on them.,"So if there are things that break, things like that, we can get them replaced."
We do have a warranty on them.,i,"Oh, yes, I mean roughly, We really haven't got there yet.","Okay, Certainly, we've just finally got them all to our residence.","So if there are things that break, things like that, we can get them replaced.","Okay, You know, you're typically, you know, five, ten years behind."
"So if there are things that break, things like that, we can get them replaced.",i,"Okay, Certainly, we've just finally got them all to our residence.",We do have a warranty on them.,"Okay, You know, you're typically, you know, five, ten years behind.","Okay, So maybe it just depends on the condition of use, I guess, Okay, I just next time we do, like next time it comes around, I think, the clams."
"Okay, You know, you're typically, you know, five, ten years behind.",i,We do have a warranty on them.,"So if there are things that break, things like that, we can get them replaced.","Okay, So maybe it just depends on the condition of use, I guess, Okay, I just next time we do, like next time it comes around, I think, the clams.",I just watched one of your crews even throwing it in the truck.
"Okay, So maybe it just depends on the condition of use, I guess, Okay, I just next time we do, like next time it comes around, I think, the clams.",i,"So if there are things that break, things like that, we can get them replaced.","Okay, You know, you're typically, you know, five, ten years behind.",I just watched one of your crews even throwing it in the truck.,it looks easier Because it's like they don't have to take it off or whatever.
I just watched one of your crews even throwing it in the truck.,i,"Okay, You know, you're typically, you know, five, ten years behind.","Okay, So maybe it just depends on the condition of use, I guess, Okay, I just next time we do, like next time it comes around, I think, the clams.",it looks easier Because it's like they don't have to take it off or whatever.,they just- and you know it's closed and then they just do it.
it looks easier Because it's like they don't have to take it off or whatever.,i,"Okay, So maybe it just depends on the condition of use, I guess, Okay, I just next time we do, like next time it comes around, I think, the clams.",I just watched one of your crews even throwing it in the truck.,they just- and you know it's closed and then they just do it.,It'd be great to give those to residents for both the regular trash and for the recycle.
they just- and you know it's closed and then they just do it.,i,I just watched one of your crews even throwing it in the truck.,it looks easier Because it's like they don't have to take it off or whatever.,It'd be great to give those to residents for both the regular trash and for the recycle.,Do we give regular trash?
It'd be great to give those to residents for both the regular trash and for the recycle.,b,it looks easier Because it's like they don't have to take it off or whatever.,they just- and you know it's closed and then they just do it.,Do we give regular trash?,"No, No, We should do it."
Do we give regular trash?,i,they just- and you know it's closed and then they just do it.,It'd be great to give those to residents for both the regular trash and for the recycle.,"No, No, We should do it.","No, be here for that, okay, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, But the lids kind of warp a little bit."
"No, No, We should do it.",i,It'd be great to give those to residents for both the regular trash and for the recycle.,Do we give regular trash?,"No, be here for that, okay, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, But the lids kind of warp a little bit.","Yeah, Anyway, At the time that was the best option."
"No, be here for that, okay, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, But the lids kind of warp a little bit.",i,Do we give regular trash?,"No, No, We should do it.","Yeah, Anyway, At the time that was the best option.","Sure, sure, sure, You can always look to improve."
"Yeah, Anyway, At the time that was the best option.",i,"No, No, We should do it.","No, be here for that, okay, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, But the lids kind of warp a little bit.","Sure, sure, sure, You can always look to improve.","Yeah, Anyway, that's it, thanks, Thank you."
"Sure, sure, sure, You can always look to improve.",i,"No, be here for that, okay, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, But the lids kind of warp a little bit.","Yeah, Anyway, At the time that was the best option.","Yeah, Anyway, that's it, thanks, Thank you.","All right, so we have a proposed amendment on the table."
"Yeah, Anyway, that's it, thanks, Thank you.",b,"Yeah, Anyway, At the time that was the best option.","Sure, sure, sure, You can always look to improve.","All right, so we have a proposed amendment on the table.","All those in favor of amending Bill 1713 with the amendment before us, please indicate by saying aye, Aye, Aye, Aye."
"All right, so we have a proposed amendment on the table.",b,"Sure, sure, sure, You can always look to improve.","Yeah, Anyway, that's it, thanks, Thank you.","All those in favor of amending Bill 1713 with the amendment before us, please indicate by saying aye, Aye, Aye, Aye.",Amendment is approved.
"All those in favor of amending Bill 1713 with the amendment before us, please indicate by saying aye, Aye, Aye, Aye.",i,"Yeah, Anyway, that's it, thanks, Thank you.","All right, so we have a proposed amendment on the table.",Amendment is approved.,"All those in favor of Bill 1713 as amended please indicate by saying aye, Aye, Aye."
Amendment is approved.,i,"All right, so we have a proposed amendment on the table.","All those in favor of amending Bill 1713 with the amendment before us, please indicate by saying aye, Aye, Aye, Aye.","All those in favor of Bill 1713 as amended please indicate by saying aye, Aye, Aye.",Affirmative recommendation.
"All those in favor of Bill 1713 as amended please indicate by saying aye, Aye, Aye.",i,"All those in favor of amending Bill 1713 with the amendment before us, please indicate by saying aye, Aye, Aye, Aye.",Amendment is approved.,Affirmative recommendation.,"thanks very much, Thank you."
Affirmative recommendation.,i,Amendment is approved.,"All those in favor of Bill 1713 as amended please indicate by saying aye, Aye, Aye.","thanks very much, Thank you.","New paper is Bill 1729 Resolution authorizing the mayor and the director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into an ownership and maintenance agreement with Almono LP for six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood at no cost to the city."
"thanks very much, Thank you.",i,"All those in favor of Bill 1713 as amended please indicate by saying aye, Aye, Aye.",Affirmative recommendation.,"New paper is Bill 1729 Resolution authorizing the mayor and the director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into an ownership and maintenance agreement with Almono LP for six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood at no cost to the city.",Motion to approve Second Discussion Seeing none.
"New paper is Bill 1729 Resolution authorizing the mayor and the director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into an ownership and maintenance agreement with Almono LP for six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood at no cost to the city.",b,Affirmative recommendation.,"thanks very much, Thank you.",Motion to approve Second Discussion Seeing none.,"all those in favor of Bill 1729 please indicate by saying aye, Aye, Aye."
Motion to approve Second Discussion Seeing none.,i,"thanks very much, Thank you.","New paper is Bill 1729 Resolution authorizing the mayor and the director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into an ownership and maintenance agreement with Almono LP for six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood at no cost to the city.","all those in favor of Bill 1729 please indicate by saying aye, Aye, Aye.",Affirmative recommendation.
"all those in favor of Bill 1729 please indicate by saying aye, Aye, Aye.",i,"New paper is Bill 1729 Resolution authorizing the mayor and the director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into an ownership and maintenance agreement with Almono LP for six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood at no cost to the city.",Motion to approve Second Discussion Seeing none.,Affirmative recommendation.,"That moves us to Innovation, Performance, Asset Management and Technology Committee, chaired by Councilwoman Gross."
Affirmative recommendation.,i,Motion to approve Second Discussion Seeing none.,"all those in favor of Bill 1729 please indicate by saying aye, Aye, Aye.","That moves us to Innovation, Performance, Asset Management and Technology Committee, chaired by Councilwoman Gross.",Supplemental new papers.
"That moves us to Innovation, Performance, Asset Management and Technology Committee, chaired by Councilwoman Gross.",b,"all those in favor of Bill 1729 please indicate by saying aye, Aye, Aye.",Affirmative recommendation.,Supplemental new papers.,"Bill 1746 Resolution authorizing the mayor and the director of the Department of Public Works to enter into an agreement, agreements and or amendments with Liv Barn and or with Team Pittsburgh Ball Hockey for the purpose of Team Pittsburgh live streaming deck hockey games held at the deck hockey rink in Marmaduke Park at no cost to the city."
Supplemental new papers.,b,Affirmative recommendation.,"That moves us to Innovation, Performance, Asset Management and Technology Committee, chaired by Councilwoman Gross.","Bill 1746 Resolution authorizing the mayor and the director of the Department of Public Works to enter into an agreement, agreements and or amendments with Liv Barn and or with Team Pittsburgh Ball Hockey for the purpose of Team Pittsburgh live streaming deck hockey games held at the deck hockey rink in Marmaduke Park at no cost to the city.",Motion to approve Second Discussion Discussion.
"Bill 1746 Resolution authorizing the mayor and the director of the Department of Public Works to enter into an agreement, agreements and or amendments with Liv Barn and or with Team Pittsburgh Ball Hockey for the purpose of Team Pittsburgh live streaming deck hockey games held at the deck hockey rink in Marmaduke Park at no cost to the city.",b,"That moves us to Innovation, Performance, Asset Management and Technology Committee, chaired by Councilwoman Gross.",Supplemental new papers.,Motion to approve Second Discussion Discussion.,"Councilman Wilson, Yeah, I wanna thank the chair for allowing us to go forward."
Motion to approve Second Discussion Discussion.,i,Supplemental new papers.,"Bill 1746 Resolution authorizing the mayor and the director of the Department of Public Works to enter into an agreement, agreements and or amendments with Liv Barn and or with Team Pittsburgh Ball Hockey for the purpose of Team Pittsburgh live streaming deck hockey games held at the deck hockey rink in Marmaduke Park at no cost to the city.","Councilman Wilson, Yeah, I wanna thank the chair for allowing us to go forward.","They have a deck hockey tournament coming up this summer and this live streaming- I'm gonna go ahead and say that, I'm gonna go ahead and say that this is a live streaming option- will be available So parents, offsite can, can watch it or I believe it's."
"Councilman Wilson, Yeah, I wanna thank the chair for allowing us to go forward.",i,"Bill 1746 Resolution authorizing the mayor and the director of the Department of Public Works to enter into an agreement, agreements and or amendments with Liv Barn and or with Team Pittsburgh Ball Hockey for the purpose of Team Pittsburgh live streaming deck hockey games held at the deck hockey rink in Marmaduke Park at no cost to the city.",Motion to approve Second Discussion Discussion.,"They have a deck hockey tournament coming up this summer and this live streaming- I'm gonna go ahead and say that, I'm gonna go ahead and say that this is a live streaming option- will be available So parents, offsite can, can watch it or I believe it's.",you know something.
"They have a deck hockey tournament coming up this summer and this live streaming- I'm gonna go ahead and say that, I'm gonna go ahead and say that this is a live streaming option- will be available So parents, offsite can, can watch it or I believe it's.",i,Motion to approve Second Discussion Discussion.,"Councilman Wilson, Yeah, I wanna thank the chair for allowing us to go forward.",you know something.,"where you can, you can watch remotely."
you know something.,i,"Councilman Wilson, Yeah, I wanna thank the chair for allowing us to go forward.","They have a deck hockey tournament coming up this summer and this live streaming- I'm gonna go ahead and say that, I'm gonna go ahead and say that this is a live streaming option- will be available So parents, offsite can, can watch it or I believe it's.","where you can, you can watch remotely.","So but I also just wanna mention, you know, wanna thank DBW for getting us together, this agreement together, and every all the other work that DBW does to make sure that Marmaduke Park is is all well and good."
"where you can, you can watch remotely.",i,"They have a deck hockey tournament coming up this summer and this live streaming- I'm gonna go ahead and say that, I'm gonna go ahead and say that this is a live streaming option- will be available So parents, offsite can, can watch it or I believe it's.",you know something.,"So but I also just wanna mention, you know, wanna thank DBW for getting us together, this agreement together, and every all the other work that DBW does to make sure that Marmaduke Park is is all well and good.","And then also thanks to the team Pittsburgh deck hockey group, because it's it's probably the most vibrant area in Brighton Heights."
"So but I also just wanna mention, you know, wanna thank DBW for getting us together, this agreement together, and every all the other work that DBW does to make sure that Marmaduke Park is is all well and good.",i,you know something.,"where you can, you can watch remotely.","And then also thanks to the team Pittsburgh deck hockey group, because it's it's probably the most vibrant area in Brighton Heights.","they're the concession stand open for the whole community and, you know, really brings a lot of people out in the neighborhood."
"And then also thanks to the team Pittsburgh deck hockey group, because it's it's probably the most vibrant area in Brighton Heights.",i,"where you can, you can watch remotely.","So but I also just wanna mention, you know, wanna thank DBW for getting us together, this agreement together, and every all the other work that DBW does to make sure that Marmaduke Park is is all well and good.","they're the concession stand open for the whole community and, you know, really brings a lot of people out in the neighborhood.","So thanks everyone, Thank you."
"they're the concession stand open for the whole community and, you know, really brings a lot of people out in the neighborhood.",i,"So but I also just wanna mention, you know, wanna thank DBW for getting us together, this agreement together, and every all the other work that DBW does to make sure that Marmaduke Park is is all well and good.","And then also thanks to the team Pittsburgh deck hockey group, because it's it's probably the most vibrant area in Brighton Heights.","So thanks everyone, Thank you.",Any further discussion?
"So thanks everyone, Thank you.",i,"And then also thanks to the team Pittsburgh deck hockey group, because it's it's probably the most vibrant area in Brighton Heights.","they're the concession stand open for the whole community and, you know, really brings a lot of people out in the neighborhood.",Any further discussion?,"Councilman Kales, I just want to say to Councilman Wilson that my grandkids play over that way and I sometimes go to the fields to watch them play and they look at me like I'm a stranger in his territory and I shouldn't be there."
Any further discussion?,i,"they're the concession stand open for the whole community and, you know, really brings a lot of people out in the neighborhood.","So thanks everyone, Thank you.","Councilman Kales, I just want to say to Councilman Wilson that my grandkids play over that way and I sometimes go to the fields to watch them play and they look at me like I'm a stranger in his territory and I shouldn't be there.",So I just want to say you're well respected over there.
"Councilman Kales, I just want to say to Councilman Wilson that my grandkids play over that way and I sometimes go to the fields to watch them play and they look at me like I'm a stranger in his territory and I shouldn't be there.",p,"So thanks everyone, Thank you.",Any further discussion?,So I just want to say you're well respected over there.,"So thank you, Oh, thanks, Now you can watch the games or you can watch your, your grandkids from from the, from the live stream."
So I just want to say you're well respected over there.,i,Any further discussion?,"Councilman Kales, I just want to say to Councilman Wilson that my grandkids play over that way and I sometimes go to the fields to watch them play and they look at me like I'm a stranger in his territory and I shouldn't be there.","So thank you, Oh, thanks, Now you can watch the games or you can watch your, your grandkids from from the, from the live stream.",That sounds perfect to me.
"So thank you, Oh, thanks, Now you can watch the games or you can watch your, your grandkids from from the, from the live stream.",i,"Councilman Kales, I just want to say to Councilman Wilson that my grandkids play over that way and I sometimes go to the fields to watch them play and they look at me like I'm a stranger in his territory and I shouldn't be there.",So I just want to say you're well respected over there.,That sounds perfect to me.,"All those in favor of bill of 1746, please indicate by saying aye, Aye, Affirmative recommendation."
That sounds perfect to me.,i,So I just want to say you're well respected over there.,"So thank you, Oh, thanks, Now you can watch the games or you can watch your, your grandkids from from the, from the live stream.","All those in favor of bill of 1746, please indicate by saying aye, Aye, Affirmative recommendation.",Thank you.
"All those in favor of bill of 1746, please indicate by saying aye, Aye, Affirmative recommendation.",b,"So thank you, Oh, thanks, Now you can watch the games or you can watch your, your grandkids from from the, from the live stream.",That sounds perfect to me.,Thank you.,"That moves us to our final committee of the day, Intergovernmental and Educational Affairs Committee, chaired by Councilman Mosley."
Thank you.,i,That sounds perfect to me.,"All those in favor of bill of 1746, please indicate by saying aye, Aye, Affirmative recommendation.","That moves us to our final committee of the day, Intergovernmental and Educational Affairs Committee, chaired by Councilman Mosley.","Bill 1727 resolution authorizing the Pittsburgh Land Bank to acquire all the city's right, title and interests, if any, and enter the publicly owned property in the 34th city of Pittsburgh designated and indeed registry office of Allegheny county as block 33 K, lot 128, 2019, reefer street, council, district three, at no cost to the city."
"That moves us to our final committee of the day, Intergovernmental and Educational Affairs Committee, chaired by Councilman Mosley.",b,"All those in favor of bill of 1746, please indicate by saying aye, Aye, Affirmative recommendation.",Thank you.,"Bill 1727 resolution authorizing the Pittsburgh Land Bank to acquire all the city's right, title and interests, if any, and enter the publicly owned property in the 34th city of Pittsburgh designated and indeed registry office of Allegheny county as block 33 K, lot 128, 2019, reefer street, council, district three, at no cost to the city.",Is there a motion?
"Bill 1727 resolution authorizing the Pittsburgh Land Bank to acquire all the city's right, title and interests, if any, and enter the publicly owned property in the 34th city of Pittsburgh designated and indeed registry office of Allegheny county as block 33 K, lot 128, 2019, reefer street, council, district three, at no cost to the city.",b,Thank you.,"That moves us to our final committee of the day, Intergovernmental and Educational Affairs Committee, chaired by Councilman Mosley.",Is there a motion?,Motion to approve Second Second Discussion: Seeing none.
Is there a motion?,i,"That moves us to our final committee of the day, Intergovernmental and Educational Affairs Committee, chaired by Councilman Mosley.","Bill 1727 resolution authorizing the Pittsburgh Land Bank to acquire all the city's right, title and interests, if any, and enter the publicly owned property in the 34th city of Pittsburgh designated and indeed registry office of Allegheny county as block 33 K, lot 128, 2019, reefer street, council, district three, at no cost to the city.",Motion to approve Second Second Discussion: Seeing none.,"all those in favor of Bill 1727, please indicate by saying aye, Aye, Affirmative recommendation."
Motion to approve Second Second Discussion: Seeing none.,i,"Bill 1727 resolution authorizing the Pittsburgh Land Bank to acquire all the city's right, title and interests, if any, and enter the publicly owned property in the 34th city of Pittsburgh designated and indeed registry office of Allegheny county as block 33 K, lot 128, 2019, reefer street, council, district three, at no cost to the city.",Is there a motion?,"all those in favor of Bill 1727, please indicate by saying aye, Aye, Affirmative recommendation.",That moves us back up to Bill 1736.
"all those in favor of Bill 1727, please indicate by saying aye, Aye, Affirmative recommendation.",i,Is there a motion?,Motion to approve Second Second Discussion: Seeing none.,That moves us back up to Bill 1736.,We have a motion to approve and a second.
That moves us back up to Bill 1736.,b,Motion to approve Second Second Discussion: Seeing none.,"all those in favor of Bill 1727, please indicate by saying aye, Aye, Affirmative recommendation.",We have a motion to approve and a second.,I have been communicating with Council President Lavelle who I believe was having some trouble connecting.
We have a motion to approve and a second.,i,"all those in favor of Bill 1727, please indicate by saying aye, Aye, Affirmative recommendation.",That moves us back up to Bill 1736.,I have been communicating with Council President Lavelle who I believe was having some trouble connecting.,"Council President, if you are able to speak up, please do, But the intention of the President was to hold Bill 1736 for a public hearing."
I have been communicating with Council President Lavelle who I believe was having some trouble connecting.,i,That moves us back up to Bill 1736.,We have a motion to approve and a second.,"Council President, if you are able to speak up, please do, But the intention of the President was to hold Bill 1736 for a public hearing.",Can we get a motion?
"Council President, if you are able to speak up, please do, But the intention of the President was to hold Bill 1736 for a public hearing.",i,We have a motion to approve and a second.,I have been communicating with Council President Lavelle who I believe was having some trouble connecting.,Can we get a motion?,"Yes, Second."
Can we get a motion?,i,I have been communicating with Council President Lavelle who I believe was having some trouble connecting.,"Council President, if you are able to speak up, please do, But the intention of the President was to hold Bill 1736 for a public hearing.","Yes, Second.",So we have a motion and a second to hold Bill 1736 for public hearing.
"Yes, Second.",i,"Council President, if you are able to speak up, please do, But the intention of the President was to hold Bill 1736 for a public hearing.",Can we get a motion?,So we have a motion and a second to hold Bill 1736 for public hearing.,"All those in favor, please indicate by saying aye, Aye, The bill will be held for public hearing."
So we have a motion and a second to hold Bill 1736 for public hearing.,i,Can we get a motion?,"Yes, Second.","All those in favor, please indicate by saying aye, Aye, The bill will be held for public hearing.",Thank you very much.
"All those in favor, please indicate by saying aye, Aye, The bill will be held for public hearing.",p,"Yes, Second.",So we have a motion and a second to hold Bill 1736 for public hearing.,Thank you very much.,That exhausts our Standing Committee's agenda Meeting announcements.
Thank you very much.,i,So we have a motion and a second to hold Bill 1736 for public hearing.,"All those in favor, please indicate by saying aye, Aye, The bill will be held for public hearing.",That exhausts our Standing Committee's agenda Meeting announcements.,"This afternoon at 2 pm, Council will hold a cablecast public hearing on Bill 1579 regarding reduced reduction in required minimum lot sizes."
That exhausts our Standing Committee's agenda Meeting announcements.,b,"All those in favor, please indicate by saying aye, Aye, The bill will be held for public hearing.",Thank you very much.,"This afternoon at 2 pm, Council will hold a cablecast public hearing on Bill 1579 regarding reduced reduction in required minimum lot sizes.",Speaker registration will close at 12.
"This afternoon at 2 pm, Council will hold a cablecast public hearing on Bill 1579 regarding reduced reduction in required minimum lot sizes.",p,Thank you very much.,That exhausts our Standing Committee's agenda Meeting announcements.,Speaker registration will close at 12.,"30 pm today And next week, Council will hold their regular meeting on Tuesday April 29th and Standing Committee's meeting on Wednesday April 30th, both at 10 am."
Speaker registration will close at 12.,p,That exhausts our Standing Committee's agenda Meeting announcements.,"This afternoon at 2 pm, Council will hold a cablecast public hearing on Bill 1579 regarding reduced reduction in required minimum lot sizes.","30 pm today And next week, Council will hold their regular meeting on Tuesday April 29th and Standing Committee's meeting on Wednesday April 30th, both at 10 am.","To register to speak at these meetings and hearings, please fill out the sign-up form on the Council meeting web page by the deadline."
"30 pm today And next week, Council will hold their regular meeting on Tuesday April 29th and Standing Committee's meeting on Wednesday April 30th, both at 10 am.",b,"This afternoon at 2 pm, Council will hold a cablecast public hearing on Bill 1579 regarding reduced reduction in required minimum lot sizes.",Speaker registration will close at 12.,"To register to speak at these meetings and hearings, please fill out the sign-up form on the Council meeting web page by the deadline.",You may also call the Clerk's Office at 412-255-2138.
"To register to speak at these meetings and hearings, please fill out the sign-up form on the Council meeting web page by the deadline.",p,Speaker registration will close at 12.,"30 pm today And next week, Council will hold their regular meeting on Tuesday April 29th and Standing Committee's meeting on Wednesday April 30th, both at 10 am.",You may also call the Clerk's Office at 412-255-2138.,Is there anything from members?
You may also call the Clerk's Office at 412-255-2138.,i,"30 pm today And next week, Council will hold their regular meeting on Tuesday April 29th and Standing Committee's meeting on Wednesday April 30th, both at 10 am.","To register to speak at these meetings and hearings, please fill out the sign-up form on the Council meeting web page by the deadline.",Is there anything from members?,Councilwoman Kale-Smith.
Is there anything from members?,i,"To register to speak at these meetings and hearings, please fill out the sign-up form on the Council meeting web page by the deadline.",You may also call the Clerk's Office at 412-255-2138.,Councilwoman Kale-Smith.,"Thank you, Madam Chair."
Councilwoman Kale-Smith.,b,You may also call the Clerk's Office at 412-255-2138.,Is there anything from members?,"Thank you, Madam Chair.","I don't know if we yesterday gave a moment of silence for the Pope, his passing, and I don't know if we even recognized it yesterday because I came in late."
"Thank you, Madam Chair.",b,Is there anything from members?,Councilwoman Kale-Smith.,"I don't know if we yesterday gave a moment of silence for the Pope, his passing, and I don't know if we even recognized it yesterday because I came in late.","so I apologize, But I would like to do that today if we hadn't."
"I don't know if we yesterday gave a moment of silence for the Pope, his passing, and I don't know if we even recognized it yesterday because I came in late.",i,Councilwoman Kale-Smith.,"Thank you, Madam Chair.","so I apologize, But I would like to do that today if we hadn't.",But I would also like to mention that he really he's a great person.
"so I apologize, But I would like to do that today if we hadn't.",i,"Thank you, Madam Chair.","I don't know if we yesterday gave a moment of silence for the Pope, his passing, and I don't know if we even recognized it yesterday because I came in late.",But I would also like to mention that he really he's a great person.,He's a great person.
But I would also like to mention that he really he's a great person.,i,"I don't know if we yesterday gave a moment of silence for the Pope, his passing, and I don't know if we even recognized it yesterday because I came in late.","so I apologize, But I would like to do that today if we hadn't.",He's a great person.,He's a great person.
He's a great person.,i,"so I apologize, But I would like to do that today if we hadn't.",But I would also like to mention that he really he's a great person.,He's a great person.,He's a great person.
He's a great person.,i,But I would also like to mention that he really he's a great person.,He's a great person.,He's a great person.,He's a great person.
He's a great person.,i,He's a great person.,He's a great person.,He's a great person.,He's a great person.
He's a great person.,i,He's a great person.,He's a great person.,He's a great person.,He's a great person.
He's a great person.,i,He's a great person.,He's a great person.,He's a great person.,He's a great person.
He's a great person.,i,He's a great person.,He's a great person.,He's a great person.,He's a great man.
He's a great person.,i,He's a great person.,He's a great person.,He's a great man.,He's a great person.
He's a great man.,i,He's a great person.,He's a great person.,He's a great person.,He is a great man.
He's a great person.,i,He's a great person.,He's a great man.,He is a great man.,He's a great person.
He is a great man.,i,He's a great man.,He's a great person.,He's a great person.,He's Undoing.
He's a great person.,i,He's a great person.,He is a great man.,He's Undoing.,He's Undoing.
He's Undoing.,i,He is a great man.,He's a great person.,He's Undoing.,He's doing work everyday.
He's Undoing.,i,He's a great person.,He's Undoing.,He's doing work everyday.,"He's Undoing, He's doing work, arts and a variety- Gratitude to Mrs runs-upstring, sarynette-les, who's drums- and and sparking young implications for churches."
He's doing work everyday.,i,He's Undoing.,He's Undoing.,"He's Undoing, He's doing work, arts and a variety- Gratitude to Mrs runs-upstring, sarynette-les, who's drums- and and sparking young implications for churches.","What do you think they just saw in the knick-knackers, in the Millers, the Judges making their key statement?"
"He's Undoing, He's doing work, arts and a variety- Gratitude to Mrs runs-upstring, sarynette-les, who's drums- and and sparking young implications for churches.",i,He's Undoing.,He's doing work everyday.,"What do you think they just saw in the knick-knackers, in the Millers, the Judges making their key statement?",He was totally radical.
